READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
3010,0.438468,0.445296,0.449473,0.452585,0.454449,0.456173,0.458605,0.459539,0.457219,0.453398,0.44653,0.435857,0.423754,0.412057,0.402362,0.394127,0.385269,0.376117,0.368692,0.362034,0.354864,0.347447,0.340781,0.336093,0.334506,0.335944,0.341136,0.350046,0.361424,0.374071,0.388087,0.402464,0.417779,0.435221,0.454259,0.470574,0.481948,0.491281,0.500563,0.509081,0.516819,0.524241,0.530579,0.531975,0.527173,0.517541,0.503954,0.490093,0.479268,0.473953
3011,0.442631,0.441522,0.438287,0.432011,0.431624,0.436513,0.442364,0.436712,0.43206,0.430148,0.427944,0.422045,0.419442,0.421024,0.421556,0.421217,0.41919,0.412002,0.399318,0.387096,0.370262,0.351415,0.334777,0.320489,0.312477,0.317195,0.332672,0.35904,0.392888,0.423887,0.452503,0.478416,0.497408,0.501314,0.498667,0.498716,0.502319,0.507234,0.516935,0.532761,0.542173,0.541925,0.544605,0.555273,0.572557,0.587099,0.602062,0.61641,0.633825,0.649805
3013,0.319362,0.347107,0.374098,0.399348,0.424845,0.451074,0.476987,0.50194,0.517022,0.512665,0.497283,0.476618,0.456245,0.437142,0.419278,0.401855,0.385974,0.367581,0.34893,0.33014,0.312208,0.296019,0.284189,0.278409,0.279207,0.288397,0.306326,0.327086,0.343076,0.361159,0.38317,0.399106,0.408184,0.423726,0.446297,0.471768,0.505354,0.545461,0.56848,0.565245,0.561876,0.564126,0.571205,0.58471,0.607433,0.634176,0.643003,0.637391,0.635818,0.644592
3030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3057,0.437978,0.423588,0.411248,0.400983,0.392675,0.385854,0.380246,0.375233,0.370735,0.366492,0.36296,0.360325,0.358704,0.357289,0.355168,0.352542,0.349634,0.34747,0.346465,0.345874,0.345502,0.345251,0.3451,0.344901,0.344265,0.344944,0.34779,0.350764,0.351164,0.350171,0.349822,0.350249,0.351865,0.354768,0.357896,0.359689,0.361748,0.366031,0.372404,0.379552,0.385539,0.390828,0.39722,0.405515,0.41552,0.426245,0.437241,0.44784,0.456398,0.464013
3069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3072,0.222458,0.239104,0.261557,0.285744,0.308423,0.329358,0.347626,0.361591,0.371075,0.376037,0.375811,0.372476,0.37003,0.370115,0.37387,0.379583,0.383005,0.379251,0.366871,0.350907,0.334202,0.31902,0.304134,0.292877,0.287571,0.287487,0.290163,0.292181,0.293729,0.296999,0.301371,0.304596,0.305921,0.308665,0.313974,0.320711,0.328357,0.335994,0.344247,0.352665,0.359606,0.364789,0.370557,0.376156,0.378582,0.37393,0.368233,0.364052,0.357965,0.343722
3075,0.544142,0.5417,0.538326,0.534305,0.529705,0.525333,0.522017,0.519515,0.515788,0.508423,0.498668,0.488367,0.477785,0.466882,0.455053,0.441912,0.42637,0.408857,0.391162,0.374266,0.357791,0.342463,0.330268,0.3225,0.319897,0.322486,0.330059,0.342668,0.359398,0.379436,0.400981,0.421451,0.43857,0.453158,0.467602,0.481586,0.494036,0.504717,0.514784,0.524671,0.533086,0.538517,0.542159,0.545884,0.548596,0.548127,0.545361,0.543328,0.543199,0.541384
3077,0.463415,0.459441,0.454153,0.448491,0.440856,0.428311,0.411213,0.39189,0.372662,0.354904,0.339143,0.326327,0.31766,0.313758,0.314043,0.314894,0.311337,0.303058,0.292353,0.280158,0.268629,0.260722,0.257048,0.256204,0.256146,0.256764,0.260206,0.267938,0.280932,0.297405,0.315437,0.335687,0.359042,0.384917,0.412277,0.439532,0.464302,0.488649,0.514103,0.538161,0.557594,0.574253,0.589492,0.60057,0.606451,0.610786,0.61522,0.618592,0.618931,0.615499
3089,0.473244,0.473417,0.47417,0.474801,0.472005,0.461783,0.446673,0.429856,0.411975,0.393659,0.375611,0.359936,0.346293,0.331253,0.314733,0.300149,0.287824,0.27767,0.268093,0.255677,0.24345,0.233624,0.226207,0.220343,0.216253,0.216809,0.224023,0.23754,0.254683,0.274082,0.296023,0.319731,0.341655,0.360433,0.378573,0.39658,0.413514,0.427397,0.439737,0.452191,0.465305,0.479557,0.495785,0.51498,0.535225,0.547719,0.553095,0.561105,0.573274,0.590463
3104,0.449371,0.443407,0.437744,0.430266,0.421011,0.413259,0.409137,0.408562,0.407469,0.401606,0.392004,0.380667,0.367928,0.356961,0.350756,0.347934,0.345943,0.344742,0.341404,0.336371,0.330856,0.324014,0.316371,0.311465,0.310351,0.312082,0.317365,0.326619,0.339904,0.353928,0.368008,0.382437,0.397002,0.410047,0.423798,0.439126,0.455661,0.473753,0.493221,0.510549,0.518821,0.521797,0.526411,0.530518,0.530587,0.530331,0.530351,0.523086,0.50214,0.477144
