READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
3004,0.438413,0.43344,0.433795,0.438265,0.445143,0.452898,0.459036,0.464644,0.471312,0.478264,0.482629,0.483601,0.48492,0.487268,0.486756,0.48041,0.471446,0.46244,0.452183,0.439177,0.424717,0.411013,0.399629,0.392718,0.387986,0.385297,0.384629,0.382937,0.37969,0.376227,0.373683,0.369551,0.362801,0.35666,0.352254,0.351351,0.354906,0.3608,0.367548,0.374768,0.380338,0.383007,0.384141,0.384436,0.385401,0.384397,0.380794,0.375776,0.371179,0.36873
3009,0.480265,0.478868,0.475948,0.470723,0.462661,0.454862,0.449624,0.444803,0.436143,0.424455,0.413968,0.405101,0.396002,0.387069,0.38067,0.376242,0.371614,0.367228,0.365743,0.366388,0.365778,0.364603,0.36507,0.366862,0.367543,0.369216,0.373034,0.377522,0.379208,0.379397,0.379688,0.380269,0.377407,0.372785,0.367703,0.364129,0.36228,0.36001,0.356691,0.352501,0.348418,0.345201,0.341737,0.339867,0.340122,0.340895,0.341826,0.34273,0.344918,0.349022
3010,0.448391,0.435428,0.421855,0.407409,0.393428,0.382541,0.375429,0.369837,0.36334,0.35771,0.353091,0.348515,0.342224,0.33486,0.328061,0.321431,0.314624,0.30772,0.29954,0.29152,0.284354,0.277021,0.270419,0.265572,0.261071,0.254964,0.247589,0.241095,0.238071,0.236819,0.237153,0.240397,0.245019,0.247658,0.250656,0.25488,0.259096,0.26189,0.263999,0.265735,0.268207,0.271442,0.274549,0.277392,0.278632,0.277257,0.274761,0.273162,0.274315,0.276791
3011,0.544914,0.540007,0.534402,0.529442,0.526342,0.524976,0.524461,0.523021,0.521074,0.520047,0.519823,0.520429,0.521164,0.520954,0.517982,0.511645,0.504216,0.497596,0.49079,0.484063,0.476996,0.470689,0.462789,0.451286,0.439847,0.42924,0.418431,0.407106,0.397288,0.388674,0.379974,0.37041,0.360819,0.352504,0.346627,0.343013,0.341152,0.339985,0.34041,0.340842,0.339936,0.337895,0.336343,0.33536,0.333965,0.33237,0.331626,0.332295,0.331411,0.330249
3013,0.428699,0.423823,0.419868,0.417606,0.416676,0.416886,0.417691,0.419726,0.422945,0.426407,0.429857,0.432787,0.434111,0.433401,0.431333,0.429069,0.426264,0.422493,0.417638,0.412792,0.406724,0.399348,0.391249,0.383452,0.376025,0.367618,0.358967,0.350943,0.343794,0.336863,0.330058,0.323286,0.316878,0.310223,0.30275,0.29464,0.286555,0.279423,0.274043,0.270441,0.268894,0.269349,0.272038,0.276603,0.283394,0.291875,0.299004,0.305137,0.310366,0.31436
3030,0.443928,0.436911,0.43253,0.429217,0.425686,0.421493,0.416928,0.412676,0.408402,0.403995,0.399317,0.395255,0.392151,0.389697,0.387911,0.386701,0.386866,0.385807,0.382996,0.378213,0.372152,0.364356,0.355219,0.347336,0.341343,0.337036,0.333674,0.331585,0.329807,0.326944,0.32226,0.316423,0.310379,0.304854,0.301063,0.299252,0.299479,0.29953,0.297654,0.294018,0.288627,0.281532,0.274401,0.269688,0.26779,0.26701,0.265688,0.263595,0.262326,0.264079
3057,0.458608,0.451728,0.443769,0.43279,0.420903,0.410239,0.401596,0.393026,0.385486,0.379502,0.373993,0.367424,0.359478,0.353473,0.350932,0.350872,0.350346,0.34504,0.337289,0.328914,0.318898,0.306087,0.289569,0.273555,0.26018,0.251404,0.24891,0.251729,0.258401,0.268351,0.280902,0.295109,0.311775,0.329477,0.345904,0.358188,0.365454,0.371025,0.376607,0.382419,0.387768,0.394003,0.399081,0.404438,0.409725,0.413503,0.415162,0.414808,0.413464,0.409353
3069,0.39662,0.393942,0.391372,0.389449,0.388964,0.388572,0.387996,0.388576,0.389348,0.390266,0.390715,0.391533,0.392331,0.391379,0.389036,0.38676,0.384917,0.381926,0.378276,0.374025,0.368989,0.364251,0.359029,0.351565,0.343048,0.335301,0.327196,0.319001,0.312224,0.307956,0.304498,0.30124,0.299463,0.300228,0.303058,0.306246,0.310718,0.317069,0.324482,0.330505,0.33475,0.338826,0.34251,0.341722,0.334805,0.32554,0.318063,0.313674,0.310653,0.307757
3072,0.43727,0.43205,0.426044,0.420165,0.414456,0.408514,0.402062,0.395511,0.389897,0.384212,0.37807,0.370586,0.363292,0.356072,0.349193,0.342412,0.336036,0.330339,0.325505,0.321561,0.318499,0.315996,0.313074,0.309748,0.306763,0.304283,0.301671,0.298927,0.29612,0.294292,0.294202,0.29516,0.29659,0.298521,0.300963,0.303656,0.306024,0.307648,0.309669,0.311583,0.311881,0.309583,0.306058,0.304369,0.305141,0.305587,0.303997,0.301172,0.296371,0.290728
3075,0.463937,0.457516,0.450404,0.443319,0.438533,0.435145,0.43135,0.426765,0.422217,0.418603,0.41541,0.413356,0.410953,0.409372,0.407748,0.406251,0.405085,0.40444,0.405516,0.406768,0.407669,0.406111,0.403043,0.399075,0.394,0.388438,0.381608,0.374481,0.366957,0.359353,0.350841,0.341945,0.334071,0.32805,0.324833,0.324921,0.326518,0.327538,0.326642,0.324292,0.321459,0.318618,0.315939,0.313652,0.311759,0.3106,0.310714,0.312382,0.315573,0.31912
