READ	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38	n39	n40	n41	n42	n43	n44	n45	n46	n47	n48	n49	n50
4570	0.418471	0.410722	0.403242	0.39636	0.390317	0.385444	0.38156	0.37862	0.37658	0.375335	0.374659	0.37412	0.373428	0.372653	0.371824	0.370963	0.370145	0.369472	0.368963	0.36849	0.367973	0.367286	0.366586	0.365963	0.365503	0.365231	0.365122	0.365056	0.364934	0.364559	0.363727	0.362447	0.361197	0.360468	0.360379	0.360929	0.36206	0.363537	0.365082	0.366129	0.366063	0.364547	0.361905	0.358803	0.355649	0.352707	0.349981	0.347393	0.344684	0.341395
4575	0.352074	0.35517	0.352116	0.352752	0.356643	0.361772	0.371387	0.379644	0.38474	0.390818	0.398225	0.406448	0.406261	0.396765	0.381847	0.363877	0.340381	0.30786	0.273243	0.239892	0.215875	0.204957	0.198027	0.193203	0.191368	0.193589	0.19549	0.198038	0.19834	0.198235	0.199659	0.205372	0.213994	0.224484	0.235248	0.246	0.26085	0.283712	0.309497	0.334441	0.361371	0.391225	0.41846	0.443273	0.469545	0.493474	0.508926	0.517196	0.522491	0.521397
4581	0.555575	0.557083	0.55864	0.56034	0.562241	0.56433	0.566438	0.567785	0.566577	0.56291	0.558046	0.552978	0.547954	0.543065	0.538226	0.533264	0.527547	0.520112	0.511446	0.502325	0.493327	0.484696	0.476527	0.468849	0.461637	0.455426	0.450655	0.447037	0.444371	0.442347	0.440986	0.440336	0.440408	0.441277	0.443248	0.446383	0.450462	0.455345	0.46074	0.466553	0.472674	0.478963	0.484998	0.489465	0.492007	0.49318	0.493777	0.494677	0.496167	0.498242
4585	0.464643	0.453204	0.443824	0.435147	0.430948	0.431158	0.438773	0.451534	0.461467	0.469972	0.469704	0.458365	0.441906	0.422172	0.403864	0.385525	0.368128	0.354284	0.343117	0.333208	0.32456	0.318117	0.314724	0.31497	0.316948	0.317702	0.319682	0.323957	0.330299	0.3363	0.341405	0.346873	0.349186	0.349227	0.349405	0.348771	0.35013	0.358478	0.371053	0.380448	0.385712	0.388169	0.389245	0.391063	0.390056	0.392521	0.395944	0.400418	0.408939	0.41156
4597	0.339108	0.326815	0.315139	0.304236	0.294663	0.286797	0.280789	0.276708	0.274574	0.274327	0.275972	0.279603	0.285073	0.291784	0.29936	0.307694	0.3166	0.325942	0.335491	0.345011	0.353883	0.361429	0.367579	0.373342	0.379434	0.385616	0.391566	0.397191	0.402423	0.407115	0.410991	0.413276	0.413525	0.412322	0.410765	0.409628	0.409327	0.409979	0.411567	0.413898	0.416602	0.418892	0.419821	0.41916	0.41771	0.416209	0.415116	0.414493	0.414299	0.414488
4613	0.494399	0.487856	0.480966	0.474051	0.467206	0.4606	0.454356	0.448294	0.442172	0.43611	0.430008	0.423805	0.417688	0.411812	0.406143	0.4009	0.396844	0.394284	0.393507	0.394585	0.397393	0.401792	0.407869	0.41517	0.422758	0.429728	0.436198	0.442882	0.450185	0.458436	0.467477	0.477116	0.487224	0.497125	0.506474	0.514834	0.522114	0.528531	0.534336	0.539055	0.542352	0.544211	0.54362	0.540293	0.534579	0.52653	0.517165	0.507418	0.498474	0.49077
4627	0.366107	0.368432	0.370699	0.373001	0.375418	0.378124	0.380942	0.383463	0.3853	0.386082	0.38572	0.384475	0.382515	0.380053	0.377306	0.374369	0.370887	0.366664	0.361455	0.355058	0.347924	0.340368	0.3329	0.325856	0.319646	0.314522	0.310661	0.308202	0.307108	0.307473	0.30903	0.312091	0.316771	0.32285	0.330121	0.338109	0.346113	0.353438	0.359749	0.364838	0.369407	0.373965	0.37893	0.384607	0.390956	0.39758	0.40419	0.410779	0.417119	0.422525
4630	0.387379	0.387314	0.386841	0.385654	0.383695	0.38118	0.378223	0.374899	0.371553	0.368266	0.364961	0.361524	0.358111	0.354945	0.3521	0.349825	0.348058	0.346537	0.345152	0.343865	0.342865	0.342121	0.34171	0.341742	0.342145	0.342888	0.343914	0.345212	0.346712	0.348314	0.350054	0.351858	0.353735	0.355741	0.357956	0.360241	0.362683	0.365162	0.367378	0.369109	0.370235	0.370724	0.370591	0.370133	0.369449	0.368595	0.367572	0.366272	0.364458	0.362143
4660	0.435417	0.436653	0.438866	0.442026	0.445845	0.45008	0.45461	0.459389	0.464377	0.469504	0.474656	0.479644	0.484267	0.488395	0.491957	0.495132	0.498037	0.500638	0.50273	0.504002	0.504415	0.504252	0.503839	0.503306	0.502862	0.502599	0.502253	0.501293	0.498965	0.495028	0.489772	0.483315	0.475394	0.465845	0.455265	0.444173	0.432766	0.420876	0.408534	0.395955	0.383325	0.370786	0.358495	0.346649	0.335501	0.325205	0.31578	0.307306	0.299831	0.293407
4676	0.496	0.492796	0.489326	0.486036	0.483103	0.480263	0.477248	0.473977	0.470225	0.46589	0.46098	0.455784	0.450534	0.445267	0.439989	0.434804	0.42977	0.424892	0.420072	0.415343	0.410846	0.406556	0.402613	0.399195	0.396476	0.394715	0.393645	0.393181	0.393506	0.394579	0.396218	0.397988	0.399463	0.40071	0.402095	0.403911	0.40593	0.407724	0.408862	0.409555	0.409909	0.410332	0.411392	0.413041	0.414824	0.41667	0.418381	0.419846	0.421234	0.422542
